item_id,group_id,name,variant_value,variant,variant_value2,variant2
6633,19,CK KG AVIAN 110,110,AVIAN COLOR,,
6632,19,CK KG AVIAN 178,178,AVIAN COLOR,,
6696,19,CK KG AVIAN 179,179,AVIAN COLOR,,
2103,19,CK KG AVIAN 187,187,AVIAN COLOR,,
2086,19,CK KG AVIAN 189,189,AVIAN COLOR,,
25,19,CK KG AVIAN 190,190,AVIAN COLOR,,
26,19,CK KG AVIAN 191,191,AVIAN COLOR,,
27,19,CK KG AVIAN 192,192,AVIAN COLOR,,
28,19,CK KG AVIAN 193,193,AVIAN COLOR,,
29,19,CK KG AVIAN 194,194,AVIAN COLOR,,
30,19,CK KG AVIAN 195,195,AVIAN COLOR,,
32,19,CK KG AVIAN 197,197,AVIAN COLOR,,
33,19,CK KG AVIAN 198,198,AVIAN COLOR,,
4507,19,CK KG AVIAN 199,199,AVIAN COLOR,,
34,19,CK KG AVIAN 301,301,AVIAN COLOR,,
5143,19,CK KG AVIAN 301M,301M,AVIAN COLOR,,
35,19,CK KG AVIAN 302,302,AVIAN COLOR,,
36,19,CK KG AVIAN 303,303,AVIAN COLOR,,
5144,19,CK KG AVIAN 303M,303M,AVIAN COLOR,,
37,19,CK KG AVIAN 305,305,AVIAN COLOR,,
5141,19,CK KG AVIAN 305M,305M,AVIAN COLOR,,
38,19,CK KG AVIAN 306,306,AVIAN COLOR,,
39,19,CK KG AVIAN 308,308,AVIAN COLOR,,
40,19,CK KG AVIAN 309,309,AVIAN COLOR,,
5146,19,CK KG AVIAN 309M,309M,AVIAN COLOR,,
2113,19,CK KG AVIAN 310,310,AVIAN COLOR,,
41,19,CK KG AVIAN 328,328,AVIAN COLOR,,
5145,19,CK KG AVIAN 328M,328M,AVIAN COLOR,,
42,19,CK KG AVIAN 329,329,AVIAN COLOR,,
6635,19,CK KG AVIAN 330,330,AVIAN COLOR,,
6636,19,CK KG AVIAN 331,331,AVIAN COLOR,,
43,19,CK KG AVIAN 365,365,AVIAN COLOR,,
44,19,CK KG AVIAN 366,366,AVIAN COLOR,,
6634,19,CK KG AVIAN 367,367,AVIAN COLOR,,
45,19,CK KG AVIAN 370,370,AVIAN COLOR,,
5133,19,CK KG AVIAN 370M,370M,AVIAN COLOR,,
46,19,CK KG AVIAN 371,371,AVIAN COLOR,,
47,19,CK KG AVIAN 461,461,AVIAN COLOR,,
5147,19,CK KG AVIAN 461M,461M,AVIAN COLOR,,
48,19,CK KG AVIAN 462,462,AVIAN COLOR,,
49,19,CK KG AVIAN 463,463,AVIAN COLOR,,
51,19,CK KG AVIAN 465,465,AVIAN COLOR,,
52,19,CK KG AVIAN 466,466,AVIAN COLOR,,
53,19,CK KG AVIAN 468,468,AVIAN COLOR,,
2114,19,CK KG AVIAN 470,470,AVIAN COLOR,,
5148,19,CK KG AVIAN 470M,470M,AVIAN COLOR,,
4433,19,CK KG AVIAN 480,480,AVIAN COLOR,,
2111,19,CK KG AVIAN 630,630,AVIAN COLOR,,
5134,19,CK KG AVIAN 630M,630M,AVIAN COLOR,,
2112,19,CK KG AVIAN 631,631,AVIAN COLOR,,
54,19,CK KG AVIAN 640,640,AVIAN COLOR,,
55,19,CK KG AVIAN 641,641,AVIAN COLOR,,
56,19,CK KG AVIAN 642,642,AVIAN COLOR,,
57,19,CK KG AVIAN 644,644,AVIAN COLOR,,
58,19,CK KG AVIAN 645,645,AVIAN COLOR,,
59,19,CK KG AVIAN 646,646,AVIAN COLOR,,
60,19,CK KG AVIAN 648,648,AVIAN COLOR,,
61,19,CK KG AVIAN 650,650,AVIAN COLOR,,
62,19,CK KG AVIAN 651,651,AVIAN COLOR,,
63,19,CK KG AVIAN 652,652,AVIAN COLOR,,
65,19,CK KG AVIAN 656,656,AVIAN COLOR,,
66,19,CK KG AVIAN 657,657,AVIAN COLOR,,
5140,19,CK KG AVIAN 657M,657M,AVIAN COLOR,,
4422,19,CK KG AVIAN 660,660,AVIAN COLOR,,
67,19,CK KG AVIAN 669,669,AVIAN COLOR,,
4707,19,CK KG AVIAN 670,670,AVIAN COLOR,,
6637,19,CK KG AVIAN 671,671,AVIAN COLOR,,
68,19,CK KG AVIAN 730,730,AVIAN COLOR,,
69,19,CK KG AVIAN 731,731,AVIAN COLOR,,
5139,19,CK KG AVIAN 731M,731M,AVIAN COLOR,,
70,19,CK KG AVIAN 732,732,AVIAN COLOR,,
71,19,CK KG AVIAN 733,733,AVIAN COLOR,,
5136,19,CK KG AVIAN 733M,733M,AVIAN COLOR,,
72,19,CK KG AVIAN 734,734,AVIAN COLOR,,
73,19,CK KG AVIAN 735,735,AVIAN COLOR,,
75,19,CK KG AVIAN 737,737,AVIAN COLOR,,
76,19,CK KG AVIAN 738,738,AVIAN COLOR,,
77,19,CK KG AVIAN 739,739,AVIAN COLOR,,
78,19,CK KG AVIAN 740,740,AVIAN COLOR,,
79,19,CK KG AVIAN 741,741,AVIAN COLOR,,
6344,19,CK KG AVIAN 742,742,AVIAN COLOR,,
4432,19,CK KG AVIAN 750,750,AVIAN COLOR,,
6639,19,CK KG AVIAN 752,752,AVIAN COLOR,,
6638,19,CK KG AVIAN 753,753,AVIAN COLOR,,
82,19,CK KG AVIAN 911,911,AVIAN COLOR,,
5135,19,CK KG AVIAN 911M,911M,AVIAN COLOR,,
83,19,CK KG AVIAN 914,914,AVIAN COLOR,,
84,19,CK KG AVIAN 915,915,AVIAN COLOR,,
5138,19,CK KG AVIAN 915M,915M,AVIAN COLOR,,
85,19,CK KG AVIAN 924,924,AVIAN COLOR,,
