codex_id,parent_id,name,parent_id
575,0,MISC,UNCATEGORIES
6448,0,VIP 1,UNCATEGORIES
8691,0,BARANG DELIMA,UNCATEGORIES
10214,0,TRASH_CAN,UNCATEGORIES
369,1,PIPA PVC GIPLON,PIPA
1123,1,PIPA PVC WAVIN,PIPA
1221,1,PIPA LISTRIK,PIPA
1318,1,PIPA PVC RUCIKA,PIPA
1575,1,TALANG,PIPA
2488,1,PIPA BESI,PIPA
2559,1,PIPA PVC STARLON,PIPA
2618,1,PIPA PVC METERAN MASPION,PIPA
3003,1,PIPA PVC MASPION PUTIH,PIPA
3004,1,PIPA PVC MASPION ABU,PIPA
3468,1,PIPA PVC CHAMPION,PIPA
3994,1,WESTPACK,PIPA
4062,1,PIPA PE,PIPA
6752,1,PIPA PVC PIPAMAS,PIPA
8390,1,PIPA PVC PRALON,PIPA
10643,1,PIPA PVC METERAN ANEKA MERK,PIPA
19,2,CK KG AVIAN,CAT
90,2,CK 1/2KG AVIAN,CAT
134,2,CK 1/4KG AVIAN,CAT
140,2,CK 100CC AVIAN,CAT
142,2,CK 50CC AVIAN,CAT
143,2,CK 25CC AVIAN,CAT
397,2,POLITUR IMPRA,CAT
416,2,POLITUR KG IMPRA WS MUDA,CAT
421,2,POLITUR KG IMPRA WS TUA,CAT
653,2,CT KG MOWILEX,CAT
655,2,MOWILEX STD KG,CAT
657,2,MULTIGUARD,CAT
659,2,NIPPE 100CC,CAT
664,2,NIPPE 200CC,CAT
671,2,NIPPE KG,CAT
688,2,POLITUR KG PINOGUARD,CAT
700,2,POLITUR KG DX,CAT
750,2,CS PYLOX,CAT
787,2,CT GLN QLUC,CAT
873,2,CT GLN SANLEX,CAT
925,2,CT KG SANLEX,CAT
961,2,CT PAIL SANLEX,CAT
963,2,SANPOLAC,CAT
967,2,SANPROOF,CAT
996,2,CK KG SEIV HAMMERTONE,CAT
1014,2,CAT BAK,CAT
1032,2,THINNER,CAT
1056,2,POLITUR KG ULTRAN P01,CAT
1082,2,CT GLN VINILEX,CAT
1122,2,CT PAIL VINILEX,CAT
1171,2,CT KG WONDER,CAT
1194,2,CT PAIL WONDER,CAT
1197,2,CAT TEMBOK LAIN2,CAT
1201,2,CK PAIL AVIAN,CAT
1206,2,MOWILEX,CAT
1207,2,WOOD CARE LAIN2,CAT
1208,2,VERNIS BATU ALAM,CAT
1212,2,CT GLN CATYLAC READY MIX,CAT
1213,2,BASE CT PAIL CATYLAC,CAT
1214,2,DEMPUL TEMBOK,CAT
1215,2,DEMPUL KAYU,CAT
1216,2,DEMPUL PLASTIK,CAT
1218,2,CS OXYGEN,CAT
1223,2,POLITUR PAIL IMPRA 2 KOMPONEN,CAT
1229,2,CAT TEMBAGA & GOLD & SILVER,CAT
1230,2,WATERPROOFING,CAT
1231,2,CT KG VINILEX,CAT
1328,2,BASE CT PAIL DULUX PENTALITE,CAT
1329,2,BASE CT GLN DULUX PENTALITE,CAT
1343,2,CAT PAPAN TULIS,CAT
1443,2,METROLITE,CAT
1451,2,MOWILEX LUAR,CAT
1456,2,POLITUR GLN IMPRA,CAT
1457,2,POLITUR KG IMPRA,CAT
1458,2,POLITUR IMPRA WF,CAT
1460,2,WOODFILLER KG IMPRA WF,CAT
1461,2,WOODFILLER GLN IMPRA WF,CAT
1473,2,POLITUR KG MOWILEX WS,CAT
1474,2,ULTRAN V-09,CAT
1527,2,WTP NODROP BITUMEN,CAT
1648,2,FLINKOTE,CAT
1655,2,MOWILEX KHUSUS GLN,CAT
1824,2,CT GLN MOWILEX,CAT
1832,2,CT PAIL ARIES,CAT
1833,2,CT GLN ARIES,CAT
1869,2,KIT,CAT
2174,2,CK KG SEIV,CAT
2243,2,GLOTEX,CAT
2305,2,POLITUR IMPRA AQUA WF,CAT
2366,2,ULTRAN LASUR,CAT
2367,2,ULTRAN PU,CAT
2465,2,CK TENSHI ,CAT
2595,2,CK 1/4KG BRILLO,CAT
2814,2,WD40,CAT
3025,2,NEPTUNE,CAT
3132,2,POLITUR KG ULTRAN P03,CAT
3316,2,PAINT REMOVER,CAT
3367,2,CS RJ 150CC,CAT
