codex_id,categ_id,type,state,name
10978,0,product,sellable,"ANTENA Q2-1120"
10482,0,product,sellable,"BATERAI PANASONIC AA BIRU - UM3U"
10483,0,product,sellable,"CONTRA JACK ANTENA METAL EKOR"
10277,0,product,sellable,"JACK ANTENA 5C BENGKOK (L)"
10790,0,product,sellable,"KABEL NYM 3x2.5 PRIMA - METERAN"
10050,0,product,sellable,"LAMPU ESSENTIAL 11W PHILIPS - KUNING"
10248,0,product,sellable,"LAMPU LED SOROT 5W  5 MATA E27 - KUNING"
10249,0,product,sellable,"LAMPU LED SOROT 5W  5 MATA E27 - PUTIH"
10247,0,product,sellable,"LAMPU LED SOROT 5W  5 MATA MR16 - PUTIH"
10466,0,product,sellable,"MATA SAKLAR PANASONIC SILVER - WEJ5532MYX"
10346,0,product,sellable,"SENTER MITSUYAMA - MS-125"
10405,0,product,sellable,"SOCKET KABEL DC CCTV"
10230,0,product,sellable,"SPLITTER ANTENA 4 CABANG - RAPID"
11020,0,product,sellable,"STOPKONTAK C3 + SAKLAR + STEKER - S-348SW"
6633,19,product,sellable,"CK KG AVIAN 110"
6632,19,product,sellable,"CK KG AVIAN 178"
6696,19,product,sellable,"CK KG AVIAN 179"
2103,19,product,sellable,"CK KG AVIAN 187"
2086,19,product,sellable,"CK KG AVIAN 189"
25,19,product,sellable,"CK KG AVIAN 190"
26,19,product,sellable,"CK KG AVIAN 191"
27,19,product,sellable,"CK KG AVIAN 192"
28,19,product,sellable,"CK KG AVIAN 193"
29,19,product,sellable,"CK KG AVIAN 194"
32,19,product,sellable,"CK KG AVIAN 197"
33,19,product,sellable,"CK KG AVIAN 198"
4507,19,product,sellable,"CK KG AVIAN 199"
34,19,product,sellable,"CK KG AVIAN 301"
5143,19,product,sellable,"CK KG AVIAN 301M"
35,19,product,sellable,"CK KG AVIAN 302"
36,19,product,sellable,"CK KG AVIAN 303"
5144,19,product,sellable,"CK KG AVIAN 303M"
37,19,product,sellable,"CK KG AVIAN 305"
5141,19,product,sellable,"CK KG AVIAN 305M"
38,19,product,sellable,"CK KG AVIAN 306"
39,19,product,sellable,"CK KG AVIAN 308"
40,19,product,sellable,"CK KG AVIAN 309"
5146,19,product,sellable,"CK KG AVIAN 309M"
2113,19,product,sellable,"CK KG AVIAN 310"
41,19,product,sellable,"CK KG AVIAN 328"
5145,19,product,sellable,"CK KG AVIAN 328M"
42,19,product,sellable,"CK KG AVIAN 329"
6635,19,product,sellable,"CK KG AVIAN 330"
6636,19,product,sellable,"CK KG AVIAN 331"
43,19,product,sellable,"CK KG AVIAN 365"
44,19,product,sellable,"CK KG AVIAN 366"
6634,19,product,sellable,"CK KG AVIAN 367"
45,19,product,sellable,"CK KG AVIAN 370"
5133,19,product,sellable,"CK KG AVIAN 370M"
46,19,product,sellable,"CK KG AVIAN 371"
47,19,product,sellable,"CK KG AVIAN 461"
48,19,product,sellable,"CK KG AVIAN 462"
51,19,product,sellable,"CK KG AVIAN 465"
52,19,product,sellable,"CK KG AVIAN 466"
2114,19,product,sellable,"CK KG AVIAN 470"
4433,19,product,sellable,"CK KG AVIAN 480"
2111,19,product,sellable,"CK KG AVIAN 630"
5134,19,product,sellable,"CK KG AVIAN 630M"
2112,19,product,sellable,"CK KG AVIAN 631"
56,19,product,sellable,"CK KG AVIAN 642"
58,19,product,sellable,"CK KG AVIAN 645"
59,19,product,sellable,"CK KG AVIAN 646"
60,19,product,sellable,"CK KG AVIAN 648"
61,19,product,sellable,"CK KG AVIAN 650"
62,19,product,sellable,"CK KG AVIAN 651"
63,19,product,sellable,"CK KG AVIAN 652"
66,19,product,sellable,"CK KG AVIAN 657"
5140,19,product,sellable,"CK KG AVIAN 657M"
4422,19,product,sellable,"CK KG AVIAN 660"
67,19,product,sellable,"CK KG AVIAN 669"
4707,19,product,sellable,"CK KG AVIAN 670"
6637,19,product,sellable,"CK KG AVIAN 671"
68,19,product,sellable,"CK KG AVIAN 730"
69,19,product,sellable,"CK KG AVIAN 731"
5139,19,product,sellable,"CK KG AVIAN 731M"
70,19,product,sellable,"CK KG AVIAN 732"
71,19,product,sellable,"CK KG AVIAN 733"
5136,19,product,sellable,"CK KG AVIAN 733M"
72,19,product,sellable,"CK KG AVIAN 734"
73,19,product,sellable,"CK KG AVIAN 735"
75,19,product,sellable,"CK KG AVIAN 737"
76,19,product,sellable,"CK KG AVIAN 738"
79,19,product,sellable,"CK KG AVIAN 741"
6344,19,product,sellable,"CK KG AVIAN 742"
4432,19,product,sellable,"CK KG AVIAN 750"
6639,19,product,sellable,"CK KG AVIAN 752"
6638,19,product,sellable,"CK KG AVIAN 753"
82,19,product,sellable,"CK KG AVIAN 911"
5135,19,product,sellable,"CK KG AVIAN 911M"
83,19,product,sellable,"CK KG AVIAN 914"
84,19,product,sellable,"CK KG AVIAN 915"
5138,19,product,sellable,"CK KG AVIAN 915M"
85,19,product,sellable,"CK KG AVIAN 924"
86,19,product,sellable,"CK KG AVIAN 927"
20,19,product,sellable,"CK KG AVIAN ALLUMINIUM"
87,19,product,sellable,"CK KG AVIAN BLACK"
5137,19,product,sellable,"CK KG AVIAN BLACK MATT"
6345,19,product,sellable,"CK KG AVIAN PWM"
88,19,product,sellable,"CK KG AVIAN VERNIS"
89,19,product,sellable,"CK KG AVIAN WHITE"
4676,19,product,sellable,"CK KG AVIAN WHITE MATT"
93,90,product,sellable,"CK 1/2KG AVIAN 186"
6063,90,product,sellable,"CK 1/2KG AVIAN 189"
94,90,product,sellable,"CK 1/2KG AVIAN 190"
7301,90,product,sellable,"CK 1/2KG AVIAN 191"
95,90,product,sellable,"CK 1/2KG AVIAN 192"
96,90,product,sellable,"CK 1/2KG AVIAN 193"
97,90,product,sellable,"CK 1/2KG AVIAN 194"
2115,90,product,sellable,"CK 1/2KG AVIAN 196"
98,90,product,sellable,"CK 1/2KG AVIAN 197"
99,90,product,sellable,"CK 1/2KG AVIAN 198"
100,90,product,sellable,"CK 1/2KG AVIAN 301"
2122,90,product,sellable,"CK 1/2KG AVIAN 302"
